"x" "y" "z"
"214" "10" 0.72 18.72
"215" "10" 0.72 19.44
"216" "10" 0.72 20.16
"217" "10" 0.72 20.88
"218" "10" 0.72 21.6
"219" "10" 0.72 22.32
"220" "10" 0.72 23.04
"221" "10" 0.72 23.76
"222" "10" 0.72 24.48
"223" "10" 0.72 25.2
"224" "10" 0.72 25.92
"225" "10" 0.72 26.64
"226" "10" 0.72 27.36
"227" "10" 0.72 28.08
"228" "10" 0.72 28.8
"229" "10" 0.72 29.52
"230" "10" 0.48 30
"231" "11" 0.72 0.72
"232" "11" 0.72 1.44
"233" "11" 0.72 2.16
"234" "11" 0.72 2.88
"235" "11" 0.72 3.6
"236" "11" 0.72 4.32
"237" "11" 0.72 5.04
"238" "11" 0.72 5.76
"239" "11" 0.72 6.48
"240" "11" 0.72 7.2
"241" "11" 0.72 7.92
"242" "11" 0.72 8.64
"243" "11" 0.72 9.36
"244" "11" 0.72 10.08
"245" "11" 0.72 10.8
"246" "11" 0.72 11.52
"247" "11" 0.72 12.24
"248" "11" 0.72 12.96
"249" "11" 0.72 13.68
"250" "11" 0.72 14.4
"251" "11" 0.72 15.12
"252" "11" 0.72 15.84
"253" "11" 0.72 16.56
"254" "11" 0.72 17.28
"255" "11" 0.72 18
"256" "11" 0.72 18.72
"257" "11" 0.72 19.44
"258" "11" 0.72 20.16
"259" "11" 0.72 20.88
"260" "11" 0.72 21.6
"261" "11" 0.72 22.32
"262" "11" 0.72 23.04
"263" "11" 0.72 23.76
"264" "11" 0.72 24.48
"265" "11" 0.72 25.2
"266" "11" 0.72 25.92
"267" "11" 0.72 26.64
"268" "11" 0.72 27.36
"269" "11" 0.72 28.08
"270" "11" 0.72 28.8
"271" "11" 0.72 29.52
"272" "11" 0.72 30.24
"273" "11" 0.72 30.96
"274" "11" 0.72 31.68
"275" "11" 0.72 32.4
"276" "11" 0.600000000000001 33
"277" "12" 0.72 0.72
"278" "12" 0.72 1.44
"279" "12" 0.72 2.16
"280" "12" 0.72 2.88
"281" "12" 0.72 3.6
"282" "12" 0.72 4.32
"283" "12" 0.72 5.04
"284" "12" 0.72 5.76
"285" "12" 0.72 6.48
"286" "12" 0.72 7.2
"287" "12" 0.72 7.92
"288" "12" 0.72 8.64
"289" "12" 0.72 9.36
"290" "12" 0.72 10.08
"291" "12" 0.72 10.8
"292" "12" 0.72 11.52
"293" "12" 0.72 12.24
"294" "12" 0.72 12.96
"295" "12" 0.72 13.68
"296" "12" 0.72 14.4
"297" "12" 0.72 15.12
"298" "12" 0.72 15.84
"299" "12" 0.72 16.56
"300" "12" 0.72 17.28
"301" "12" 0.72 18
"302" "12" 0.72 18.72
"303" "12" 0.72 19.44
"304" "12" 0.72 20.16
"305" "12" 0.72 20.88
"306" "12" 0.72 21.6
"307" "12" 0.72 22.32
"308" "12" 0.72 23.04
"309" "12" 0.72 23.76
"310" "12" 0.72 24.48
"311" "12" 0.72 25.2
"312" "12" 0.72 25.92
"313" "12" 0.72 26.64
"314" "12" 0.72 27.36
"315" "12" 0.72 28.08
"316" "12" 0.72 28.8
"317" "12" 0.72 29.52
"318" "12" 0.72 30.24
"319" "12" 0.72 30.96
"320" "12" 0.72 31.68
"321" "12" 0.72 32.4
"322" "12" 0.72 33.12
"323" "12" 0.72 33.84
"324" "12" 0.72 34.56
"325" "12" 0.72 35.28
"326" "12" 0.72 36
"327" "12" 0 36
"328" "13" 0.72 0.72
"329" "13" 0.72 1.44
"330" "13" 0.72 2.16
"331" "13" 0.72 2.88
"332" "13" 0.72 3.6
"333" "13" 0.72 4.32
"334" "13" 0.72 5.04
"335" "13" 0.72 5.76
"336" "13" 0.72 6.48
"337" "13" 0.72 7.2
"338" "13" 0.72 7.92
"339" "13" 0.72 8.64
"340" "13" 0.72 9.36
"341" "13" 0.72 10.08
"342" "13" 0.72 10.8
"343" "13" 0.72 11.52
"344" "13" 0.72 12.24
"345" "13" 0.72 12.96
"346" "13" 0.72 13.68
"347" "13" 0.72 14.4
"348" "13" 0.72 15.12
"349" "13" 0.72 15.84
"350" "13" 0.72 16.56
"351" "13" 0.72 17.28
"352" "13" 0.72 18
"353" "13" 0.72 18.72
"354" "13" 0.72 19.44
"355" "13" 0.72 20.16
"356" "13" 0.72 20.88
"357" "13" 0.72 21.6
"358" "13" 0.72 22.32
"359" "13" 0.72 23.04
"360" "13" 0.72 23.76
"361" "13" 0.72 24.48
"362" "13" 0.72 25.2
"363" "13" 0.72 25.92
"364" "13" 0.72 26.64
"365" "13" 0.72 27.36
"366" "13" 0.72 28.08
"367" "13" 0.72 28.8
"368" "13" 0.72 29.52
"369" "13" 0.72 30.24
"370" "13" 0.72 30.96
"371" "13" 0.72 31.68
"372" "13" 0.72 32.4
"373" "13" 0.72 33.12
"374" "13" 0.72 33.84
"375" "13" 0.72 34.56
"376" "13" 0.72 35.28
"377" "13" 0.72 36
"378" "13" 0.72 36.72
"379" "13" 0.72 37.44
"380" "13" 0.72 38.16
"381" "13" 0.72 38.88
"382" "13" 0.120000000000005 39
"383" "14" 0.72 0.72
"384" "14" 0.72 1.44
"385" "14" 0.72 2.16
"386" "14" 0.72 2.88
"387" "14" 0.72 3.6
"388" "14" 0.72 4.32
"389" "14" 0.72 5.04
"390" "14" 0.72 5.76
"391" "14" 0.72 6.48
"392" "14" 0.72 7.2
"393" "14" 0.72 7.92
"394" "14" 0.72 8.64
"395" "14" 0.72 9.36
"396" "14" 0.72 10.08
"397" "14" 0.72 10.8
"398" "14" 0.72 11.52
"399" "14" 0.72 12.24
"400" "14" 0.72 12.96
"401" "14" 0.72 13.68
"402" "14" 0.72 14.4
"403" "14" 0.72 15.12
"404" "14" 0.72 15.84
